Aug 28 17:50:32 92.163.16.155 (pid 19521) autoriser('crayonner', article, 13, NULL, array('modele'=>texte)
Aug 28 17:52:35 92.163.16.155 (pid 21273) autoriser('crayonner', article, 20, NULL, array('modele'=>texte)
Aug 28 17:52:44 92.163.16.155 (pid 21376) autoriser('crayonner', article, 20, NULL, array('modele'=>texte)
Aug 28 17:53:28 92.163.16.155 (pid 21944) autoriser('crayonner', article, 23, NULL, array('modele'=>texte)
Aug 28 17:54:40 92.163.16.155 (pid 22861) autoriser('crayonner', article, 23, NULL, array('modele'=>texte)
Aug 28 17:54:44 92.163.16.155 (pid 22929) autoriser('crayonner', article, 23, NULL, array('modele'=>texte)
Aug 28 17:56:16 92.163.16.155 (pid 24813) autoriser('crayonner', article, 23, NULL, array('modele'=>texte)
Aug 28 17:56:20 92.163.16.155 (pid 24842) autoriser('crayonner', article, 23, NULL, array('modele'=>texte)
Aug 28 17:56:59 92.163.16.155 (pid 25211) autoriser('crayonner', article, 23, NULL, array('modele'=>texte)
Aug 28 17:57:13 92.163.16.155 (pid 25499) autoriser('crayonner', article, 23, NULL, array('modele'=>texte)
Aug 28 17:57:22 92.163.16.155 (pid 25625) autoriser('crayonner', article, 23, NULL, array('modele'=>texte)
Aug 28 17:58:03 92.163.16.155 (pid 26217) autoriser('crayonner', article, 28, NULL, array('modele'=>texte)
Aug 28 17:58:19 92.163.16.155 (pid 26447) autoriser('crayonner', article, 28, NULL, array('modele'=>texte)
Aug 28 17:58:23 92.163.16.155 (pid 26478) autoriser('crayonner', article, 28, NULL, array('modele'=>texte)
Aug 28 17:58:38 92.163.16.155 (pid 26651) autoriser('crayonner', article, 28, NULL, array('modele'=>texte)
Aug 28 17:58:47 92.163.16.155 (pid 26793) autoriser('crayonner', article, 28, NULL, array('modele'=>texte)
Aug 28 17:59:02 92.163.16.155 (pid 27096) autoriser('crayonner', article, 28, NULL, array('modele'=>texte)
Aug 28 17:59:12 92.163.16.155 (pid 27183) autoriser('crayonner', article, 28, NULL, array('modele'=>texte)
Aug 28 17:59:32 92.163.16.155 (pid 27391) autoriser('crayonner', article, 28, NULL, array('modele'=>texte)
